title,url,first_author,authors,year,publisher,cited_by,query
An effective method for computerized prediction and segmentation of multiple sclerosis lesions in brain MRI,https://www.sciencedirect.com/science/article/pii/S016926071631450X,S Roy,"S Roy, D Bhattacharyya, SK Bandyopadhyay…",2017,Elsevier,41,multiple sclerosis segmentation
Recent advances in the longitudinal segmentation of multiple sclerosis lesions on magnetic resonance imaging: a review,https://link.springer.com/article/10.1007/s00234-022-03019-3,M Diaz ,"M Diaz ,Hurtado, E Martínez ,Heras, E Solana…",2022,Springer,10,multiple sclerosis segmentation
An efficient multiple sclerosis segmentation and detection system using neural networks,https://www.sciencedirect.com/science/article/pii/S0045790617334377,MH Alshayeji,"MH Alshayeji, MA Al ,Rousan, H Ellethy",2018,Elsevier,17,multiple sclerosis segmentation
Multiple sclerosis lesion segmentation from brain MRI via fully convolutional neural networks,https://arxiv.org/abs/1803.09172,S Roy,"S Roy, JA Butman, DS Reich, PA Calabresi…",2018,arxiv.org,91,multiple sclerosis segmentation
Deep‐learning‐based neural tissue segmentation of MRI in multiple sclerosis: effect of training set size,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.26959,PA Narayana,"PA Narayana, I Coronado, SJ Sujit…",2020,Wiley Online Library,33,multiple sclerosis segmentation
Investigating efficient CNN architecture for multiple sclerosis lesion segmentation,https://www.spiedigitallibrary.org/journals/journal-of-medical-imaging/volume-8/issue-1/014504/Investigating-efficient-CNN-architecture-for-multiple-sclerosis-lesion-segmentation/10.1117/1.JMI.8.1.014504.short,A Fenneteau,"A Fenneteau, P Bourdon, D Helbert…",2021,spiedigitallibrary.org,13,multiple sclerosis segmentation
Automatic segmentation of the spinal cord and intramedullary multiple sclerosis lesions with convolutional neural networks,https://www.sciencedirect.com/science/article/pii/S1053811918319578,C Gros,"C Gros, B De Leener, A Badji, J Maranzano, D Eden…",2019,Elsevier,189,multiple sclerosis segmentation
Automatic detection and segmentation of evolving processes in 3D medical images: Application to multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S1361841502000567,D Rey,"D Rey, G Subsol, H Delingette, N Ayache",2002,Elsevier,286,multiple sclerosis segmentation
Automatic and Robust Segmentation of Multiple Sclerosis Lesions with Convolutional Neural Networks.,https://www.researchgate.net/profile/H-M-Rehan-Afzal-2/publication/345262073_Automatic_and_Robust_Segmentation_of_Multiple_Sclerosis_Lesions_with_Convolutional_Neural_Networks/links/5fa21eb9a6fdccfd7b9b74c0/Automatic-and-Robust-Segmentation-of-Multiple-Sclerosis-Lesions-with-Convolutional-Neural-Networks.pdf,HM Afzal,"HM Afzal, S Luo, S Ramadan…",2021,researchgate.net,16,multiple sclerosis segmentation
Automatic detection of lesion load change in Multiple Sclerosis using convolutional neural networks with segmentation confidence,https://www.sciencedirect.com/science/article/pii/S2213158219304516,R McKinley,"R McKinley, R Wepfer, L Grunder, F Aschwanden…",2020,Elsevier,65,multiple sclerosis segmentation
"Lesion detection, segmentation and prediction in multiple sclerosis clinical trials",https://link.springer.com/chapter/10.1007/978-3-319-75238-9_2,A Doyle,"A Doyle, C Elliott, Z Karimaghaloo, N Subbanna…",2018,Springer,12,multiple sclerosis segmentation
"OASIS is Automated Statistical Inference for Segmentation, with applications to multiple sclerosis lesion segmentation in MRI",https://www.sciencedirect.com/science/article/pii/S2213158213000235,EM Sweeney,"EM Sweeney, RT Shinohara, N Shiee, FJ Mateen…",2013,Elsevier,119,multiple sclerosis segmentation
Evaluating the effect of multiple sclerosis lesions on automatic brain structure segmentation,https://www.sciencedirect.com/science/article/pii/S2213158217301080,S González ,"S González ,Villà, S Valverde, M Cabezas, D Pareto…",2017,Elsevier,25,multiple sclerosis segmentation
Brain structure segmentation in the presence of multiple sclerosis lesions,https://www.sciencedirect.com/science/article/pii/S2213158219300592,S González ,"S González ,Villà, A Oliver, Y Huo, X Lladó…",2019,Elsevier,25,multiple sclerosis segmentation
Multiple Sclerosis Lesion Segmentation using Improved Convolutional Neural Networks.,https://pdfs.semanticscholar.org/6850/d76164552fd0ee95ce3045acc1922f4124bb.pdf,E Kazancli,"E Kazancli, V Prchkovska…",2018,pdfs.semanticscholar.org,16,multiple sclerosis segmentation
SynergyNet: a fusion framework for multiple sclerosis brain MRI segmentation with local refinement,https://ieeexplore.ieee.org/abstract/document/9098610/,YS Vang,"YS Vang, Y Cao, PD Chang, DS Chow…",2020,ieeexplore.ieee.org,12,multiple sclerosis segmentation
A self-adaptive network for multiple sclerosis lesion segmentation from multi-contrast MRI with various imaging sequences,https://ieeexplore.ieee.org/abstract/document/8759522/,Y Feng,"Y Feng, H Pan, C Meyer, X Feng",2019,ieeexplore.ieee.org,20,multiple sclerosis segmentation
Automated segmentation and measurement of global white matter lesion volume in patients with multiple sclerosis,https://onlinelibrary.wiley.com/doi/abs/10.1002/1522-2586(200012)12:6%3C799::AID-JMRI2%3E3.0.CO;2-%23,B Alfano,"B Alfano, A Brunetti, M Larobina…",2000,Wiley Online Library,117,multiple sclerosis segmentation
MRI FLAIR lesion segmentation in multiple sclerosis: Does automated segmentation hold up with manual annotation?,https://www.sciencedirect.com/science/article/pii/S2213158216302285,C Egger,"C Egger, R Opfer, C Wang, T Kepp, MP Sormani…",2017,Elsevier,104,multiple sclerosis segmentation
Automated segmentation of multiple sclerosis lesions using multi-dimensional gated recurrent units,https://link.springer.com/chapter/10.1007/978-3-319-75238-9_3,S Andermatt,"S Andermatt, S Pezold, PC Cattin",2018,Springer,62,multiple sclerosis segmentation
DeepLesionBrain: Towards a broader deep-learning generalization for multiple sclerosis lesion segmentation,https://www.sciencedirect.com/science/article/pii/S1361841521003571,RA Kamraoui,"RA Kamraoui, VT Ta, T Tourdias, B Mansencal…",2022,Elsevier,28,multiple sclerosis segmentation
Comparing lesion segmentation methods in multiple sclerosis: Input from one manually delineated subject is sufficient for accurate lesion segmentation,https://www.sciencedirect.com/science/article/pii/S2213158219304218,MM Weeda,"MM Weeda, I Brouwer, ML de Vos, MS de Vries…",2019,Elsevier,29,multiple sclerosis segmentation
An advanced MRI multi-modalities segmentation methodology dedicated to multiple sclerosis lesions exploration and differentiation,https://ieeexplore.ieee.org/abstract/document/8068279/,O Ghribi,"O Ghribi, L Sellami, MB Slima…",2017,ieeexplore.ieee.org,14,multiple sclerosis segmentation
A deep learning-based approach for simultaneously segmenting T2 lesions and T1 hypointensities in multiple sclerosis regulatory clinical trials (4379),https://n.neurology.org/content/96/15_Supplement/4379.abstract,N Bergsland,"N Bergsland, D Jakimovski, D Ramasamy, R Zivadinov… ",2021,AAN Enterprises,2,multiple sclerosis segmentation deep learning
Multiple sclerosis diagnosis using machine learning and deep learning: Challenges and opportunities,https://www.mdpi.com/1424-8220/22/20/7856,N Aslam,"N Aslam, IU Khan, A Bashamakh, FA Alghool…",2022,mdpi.com,17,multiple sclerosis segmentation deep learning
Segmentation of multiple sclerosis lesions in MR images: a review,https://link.springer.com/article/10.1007/s00234-011-0886-7,D Mortazavi,"D Mortazavi, AZ Kouzani, H Soltanian ,Zadeh",2012,Springer,179,multiple sclerosis segmentation deep learning
Geometric loss for deep multiple sclerosis lesion segmentation,https://ieeexplore.ieee.org/abstract/document/9434085/,H Zhang,"H Zhang, J Zhang, R Wang, Q Zhang…",2021,ieeexplore.ieee.org,19,multiple sclerosis segmentation deep learning
Delve into multiple sclerosis (MS) lesion exploration: a modified attention U-net for MS lesion segmentation in brain MRI,https://www.sciencedirect.com/science/article/pii/S0010482522001949,M Hashemi,"M Hashemi, M Akhbari, C Jutten",2022,Elsevier,19,multiple sclerosis segmentation U-net
New multiple sclerosis lesion segmentation and detection using pre-activation U-Net,https://www.frontiersin.org/articles/10.3389/fnins.2022.975862/full,P Ashtari,"P Ashtari, B Barile, S Van Huffel…",2022,frontiersin.org,3,multiple sclerosis segmentation U-net
Longitudinal multiple sclerosis lesion segmentation using pre-activation U-Net,https://inria.hal.science/hal-03358968/file/MSSEG_Challenge_Proceedings.pdf#page=54,P Ashtari,"P Ashtari, B Barile, S Van Huffel…",2021,inria.hal.science,3,multiple sclerosis segmentation U-net
Multi-arm U-Net with dense input and skip connectivity for T2 lesion segmentation in clinical trials of multiple sclerosis,https://www.nature.com/articles/s41598-023-31207-5,AP Krishnan,"AP Krishnan, Z Song, D Clayton, X Jia…",2023,nature.com,2,multiple sclerosis segmentation U-net
M-DDC: MRI based demyelinative diseases classification with U-Net segmentation and convolutional network,https://www.sciencedirect.com/science/article/pii/S0893608023005646,D Zhou,"D Zhou, L Xu, T Wang, S Wei, F Gao, X Lai, J Cao",2024,Elsevier,0,multiple sclerosis segmentation U-net
Boosting multiple sclerosis lesion segmentation through attention mechanism,https://www.sciencedirect.com/science/article/pii/S0010482523004869,A Rondinella,"A Rondinella, E Crispino, F Guarnera, O Giudice…",2023,Elsevier,7,multiple sclerosis segmentation U-net
Automated detection of cortical lesions in multiple sclerosis patients with 7T MRI,https://link.springer.com/chapter/10.1007/978-3-030-59719-1_57,F La Rosa,"F La Rosa, ES Beck, A Abdulkadir, JP Thiran…",2020,Springer,11,multiple sclerosis segmentation U-net
Automatic segmentation of spinal multiple sclerosis lesions: How to generalize across MRI contrasts?,https://arxiv.org/abs/2003.04377,O Vincent,"O Vincent, C Gros, JP Cohen, J Cohen ,Adad",2020,arxiv.org,1,multiple sclerosis segmentation U-net
Automatic brain structures segmentation using deep residual dilated U-Net,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_39,H Li,"H Li, A Zhygallo, B Menze",2019,Springer,22,multiple sclerosis segmentation U-net
U-Net and its variants for medical image segmentation: theory and applications,https://arxiv.org/abs/2011.01118,N Siddique,"N Siddique, P Sidike, C Elkin…",2020,arxiv.org,66,multiple sclerosis segmentation U-net
Choroid plexus segmentation using optimized 3D U-Net,https://ieeexplore.ieee.org/abstract/document/9098443/,L Zhao,"L Zhao, X Feng, CH Meyer…",2020,ieeexplore.ieee.org,16,multiple sclerosis segmentation U-net
U-net and its variants for medical image segmentation: A review of theory and applications,https://ieeexplore.ieee.org/abstract/document/9446143/,N Siddique,"N Siddique, S Paheding, CP Elkin…",2021,ieeexplore.ieee.org,729,multiple sclerosis segmentation U-net
Longitudinal Segmentation of Multiple Sclerosis Lesions Using nnU-Net Architecture,https://books.google.com/books?hl=en&lr=&id=9eDjEAAAQBAJ&oi=fnd&pg=PA163&dq=multiple+sclerosis+segmentation+u-net&ots=xO7u01L9tn&sig=mjbGY3sWbhTHZ98M7nOTQeqlnF8,E MARTÍNEZ ,"E MARTÍNEZ ,HERAS…",2023,books.google.com,0,multiple sclerosis segmentation U-net
New MS lesion segmentation with deep residual attention gate U-Net utilizing 2D slices of 3D MR images,https://www.frontiersin.org/articles/10.3389/fnins.2022.912000/full,B Sarica,"B Sarica, DZ Seker",2022,frontiersin.org,5,multiple sclerosis segmentation U-net
Deep convolutional neural networks using U-Net for automatic brain tumor segmentation in multimodal MRI volumes,https://link.springer.com/chapter/10.1007/978-3-030-11726-9_4,A Kermi,"A Kermi, I Mahmoudi, MT Khadir",2019,Springer,137,multiple sclerosis segmentation U-net
A fully convolutional neural network for new T2-w lesion detection in multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S2213158219304954,M Salem,"M Salem, S Valverde, M Cabezas, D Pareto, A Oliver…",2020,Elsevier,59,multiple sclerosis segmentation U-net
Cross attention densely connected networks for multiple sclerosis lesion segmentation,https://ieeexplore.ieee.org/abstract/document/8983149/,B Hou,"B Hou, G Kang, X Xu, C Hu",2019,ieeexplore.ieee.org,12,multiple sclerosis segmentation U-net
Rsanet: Recurrent slice-wise attention network for multiple sclerosis lesion segmentation,https://link.springer.com/chapter/10.1007/978-3-030-32248-9_46,H Zhang,"H Zhang, J Zhang, Q Zhang, J Kim, S Zhang…",2019,Springer,25,multiple sclerosis segmentation U-net
Siamese convolutional neural network for new multiple sclerosis lesion segmentation,https://inria.hal.science/hal-03358968/file/MSSEG2_Challenge_Proceedings.pdf#page=22,S Healthcare,"S Healthcare, F Saint Denis",2021,inria.hal.science,0,multiple sclerosis segmentation U-net
Scanner invariant multiple sclerosis lesion segmentation from MRI,https://ieeexplore.ieee.org/abstract/document/9098721/,S Aslani,"S Aslani, V Murino, M Dayan, R Tam…",2020,ieeexplore.ieee.org,45,multiple sclerosis segmentation U-net
Trialing u-net training modifications for segmenting gliomas using open source deep learning framework,https://link.springer.com/chapter/10.1007/978-3-030-72087-2_4,DG Ellis,"DG Ellis, MR Aizenberg",2021,Springer,10,multiple sclerosis segmentation U-net
Convolutional Neural Network Approach for Multiple Sclerosis Lesion Segmentation,https://link.springer.com/chapter/10.1007/978-3-031-21753-1_52,NH Messaoud,"NH Messaoud, A Mansour, R Ayari…",2022,Springer,0,multiple sclerosis segmentation U-net
3D patchwise U-Net with transition layers for MR brain segmentation,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_40,M Luna,"M Luna, SH Park",2019,Springer,28,multiple sclerosis segmentation U-net
S3D-UNet: separable 3D U-Net for brain tumor segmentation,https://link.springer.com/chapter/10.1007/978-3-030-11726-9_32,W Chen,"W Chen, B Liu, S Peng, J Sun, X Qiao",2019,Springer,260,multiple sclerosis segmentation U-net
Triplanar U-Net with lesion-wise voting for the segmentation of new lesions on longitudinal MRI studies,https://www.frontiersin.org/articles/10.3389/fnins.2022.964250/full,S Hitziger,"S Hitziger, WX Ling, T Fritz, T D'Albis…",2022,frontiersin.org,6,multiple sclerosis segmentation U-net
New lesion segmentation for multiple sclerosis brain images with imaging and lesion-aware augmentation,https://www.frontiersin.org/articles/10.3389/fnins.2022.1007453/full,BD Basaran,"BD Basaran, PM Matthews, W Bai",2022,frontiersin.org,10,multiple sclerosis segmentation U-net
Quantifying deep grey matter atrophy using automated segmentation approaches: A systematic review of structural MRI studies,https://www.sciencedirect.com/science/article/pii/S1053811919305993,AM Pagnozzi,"AM Pagnozzi, J Fripp, SE Rose",2019,Elsevier,23,multiple sclerosis segmentation deep learning review
A toolbox for multiple sclerosis lesion segmentation,https://link.springer.com/article/10.1007/s00234-015-1552-2,E Roura,"E Roura, A Oliver, M Cabezas, S Valverde, D Pareto…",2015,Springer,105,multiple sclerosis segmentation deep learning review
Deep learning approaches for segmentation of multiple sclerosis lesions on brain MRI.,https://core.ac.uk/download/pdf/287851849.pdf,S Aslani ,S Aslani ,2020,core.ac.uk,0,multiple sclerosis segmentation deep learning review
Image Segmentation with Priority Based Apposite Feature Extraction Model for Detection of Multiple Sclerosis in MR Images Using Deep Learning Technique.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=07650019&AN=156790824&h=xL6I6FYM0TiB5izJqxK9Q3%2FIWrrdgy1aqz%2FrtrKSFxK2eAwbE8rBD9HGA12VnIhJsM1CZV%2FLW5CZcSw%2Bbrt6%2BQ%3D%3D&crl=c,KN Rode,"KN Rode, RJ Siddamallaiah",2022,search.ebscohost.com,2,multiple sclerosis segmentation deep learning review
An effective method for computerized prediction and segmentation of multiple sclerosis lesions in brain MRI,https://www.sciencedirect.com/science/article/pii/S016926071631450X,S Roy,"S Roy, D Bhattacharyya, SK Bandyopadhyay…",2017,Elsevier,41,multiple sclerosis segmentation deep learning review
"Cortical lesions, central vein sign, and paramagnetic rim lesions in multiple sclerosis: Emerging machine learning techniques and future avenues",https://www.sciencedirect.com/science/article/pii/S2213158222002704,F La Rosa,"F La Rosa, M Wynen, O Al ,Louzi, ES Beck…",2022,Elsevier,14,multiple sclerosis segmentation deep learning review
Multiple sclerosis exploration based on automatic MRI modalities segmentation approach with advanced volumetric evaluations for essential feature extraction,https://www.sciencedirect.com/science/article/pii/S1746809417301404,O Ghribi,"O Ghribi, L Sellami, MB Slima, C Mhiri…",2018,Elsevier,28,multiple sclerosis segmentation deep learning review
Objective evaluation of multiple sclerosis lesion segmentation using a data management and processing infrastructure,https://www.nature.com/articles/s41598-018-31911-7,O Commowick,"O Commowick, A Istace, M Kain, B Laurent, F Leray…",2018,nature.com,225,multiple sclerosis segmentation deep learning review
MPRAGE to MP2RAGE UNI translation via generative adversarial network improves the automatic tissue and lesion segmentation in multiple sclerosis …,https://www.sciencedirect.com/science/article/pii/S0010482521000913,F La Rosa,"F La Rosa, T Yu, G Barquero, JP Thiran…",2021,Elsevier,8,multiple sclerosis segmentation gan
Lesion-Specific Prediction with Discriminator-Based Supervised Guided Attention Module Enabled GANs in Multiple Sclerosis,https://arxiv.org/abs/2208.14533,J Wang,"J Wang, D Berger, E Mazerolle, JA Delamer…",2022,arxiv.org,0,multiple sclerosis segmentation gan
Predicting disease-related MRI patterns of multiple sclerosis through GAN-based image editing,https://www.sciencedirect.com/science/article/pii/S0939388923001484,D Güllmar,"D Güllmar, WC Hsu, JR Reichenbach",2023,Elsevier,0,multiple sclerosis segmentation gan
voxel-GAN: adversarial framework for learning imbalanced brain tumor segmentation,https://link.springer.com/chapter/10.1007/978-3-030-11726-9_29,M Rezaei,"M Rezaei, H Yang, C Meinel",2019,Springer,27,multiple sclerosis segmentation gan
Predicting PET-derived myelin content from multisequence MRI for individual longitudinal analysis in multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S1053811920307941,W Wei,"W Wei, E Poirion, B Bodini, M Tonietto, S Durrleman…",2020,Elsevier,30,multiple sclerosis segmentation gan
Data augmentation using generative adversarial neural networks on brain structural connectivity in multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S0169260721001887,B Barile,"B Barile, A Marzullo, C Stamile, F Durand ,Dubief…",2021,Elsevier,45,multiple sclerosis segmentation gan
Vox2Vox: 3D-GAN for brain tumour segmentation,https://link.springer.com/chapter/10.1007/978-3-030-72084-1_25,MD Cirillo,"MD Cirillo, D Abramian, A Eklund",2021,Springer,120,multiple sclerosis segmentation gan
Predicting PET-derived demyelination from multimodal MRI using sketcher-refiner adversarial training for multiple sclerosis,https://www.sciencedirect.com/science/article/pii/S1361841519300817,W Wei,"W Wei, E Poirion, B Bodini, S Durrleman, N Ayache…",2019,Elsevier,42,multiple sclerosis segmentation gan
Early diagnosis of multiple sclerosis using swept-source optical coherence tomography and convolutional neural networks trained with data augmentation,https://www.mdpi.com/1424-8220/22/1/167,A López ,"A López ,Dorado, M Ortiz, M Satue, MJ Rodrigo…",2021,mdpi.com,11,multiple sclerosis segmentation gan
Deep learning based multiple sclerosis lesion detection utilizing synthetic data generation and soft attention mechanism,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/12033/120330R/Deep-learning-based-multiple-sclerosis-lesion-detection-utilizing-synthetic-data/10.1117/12.2613283.short,OZ Shmueli,"OZ Shmueli, C Solomon, N Ben ,Eliezer…",2022,spiedigitallibrary.org,3,multiple sclerosis segmentation gan
Subject-specific lesion generation and pseudo-healthy synthesis for multiple sclerosis brain images,https://link.springer.com/chapter/10.1007/978-3-031-16980-9_1,BD Basaran,"BD Basaran, M Qiao, PM Matthews, W Bai",2022,Springer,6,multiple sclerosis segmentation gan
Uncertainty-aware and lesion-specific image synthesis in multiple sclerosis magnetic resonance imaging: a multicentric validation study,https://www.frontiersin.org/articles/10.3389/fnins.2022.889808/full,T Finck,"T Finck, H Li, S Schlaeger, L Grundl…",2022,frontiersin.org,8,multiple sclerosis segmentation gan
Deep autoencoding models for unsupervised anomaly segmentation in brain MR images,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_16,C Baur,"C Baur, B Wiestler, S Albarqouni, N Navab",2019,Springer,499,multiple sclerosis segmentation gan
Deep-learning generated synthetic double inversion recovery images improve multiple sclerosis lesion detection,https://journals.lww.com/investigativeradiology/fulltext/2020/05000/deep_learning_generated_synthetic_double_inversion.9.aspx,T Finck,"T Finck, H Li, L Grundl, P Eichinger…",2020,journals.lww.com,41,multiple sclerosis segmentation gan
Image domain transfer by deep learning is feasible in multiple sclerosis clinical practice,https://journals.lww.com/investigativeradiology/Fulltext/2020/05000/Image_Domain_Transfer_by_Deep_Learning_is_Feasible.10.aspx?context=LatestArticles,A Hagiwara,"A Hagiwara, K Kamagata, S Aoki",2020,journals.lww.com,4,multiple sclerosis segmentation gan
Multiple sclerosis lesion segmentation: revisiting weighting mechanisms for federated learning,https://www.frontiersin.org/articles/10.3389/fnins.2023.1167612/full,D Liu,"D Liu, M Cabezas, D Wang, Z Tang, L Bai…",2023,frontiersin.org,3,multiple sclerosis segmentation gan
A conditional adversarial network for semantic segmentation of brain tumor,https://link.springer.com/chapter/10.1007/978-3-319-75238-9_21,M Rezaei,"M Rezaei, K Harmuth, W Gierke, T Kellermeier…",2018,Springer,158,multiple sclerosis segmentation gan
Novel framework for Detecting Multiple Sclerosis using Hybrid models,https://ieeexplore.ieee.org/abstract/document/10206298/,M Elbaz,"M Elbaz, S Yassin, S Magdy…",2022,ieeexplore.ieee.org,0,multiple sclerosis segmentation gan
High tissue contrast image synthesis via multistage attention-GAN: application to segmenting brain MR scans,https://www.sciencedirect.com/science/article/pii/S0893608020303038,M Hamghalam,"M Hamghalam, T Wang, B Lei",2020,Elsevier,31,multiple sclerosis segmentation gan
Longitudinal Assessment of Multiple Sclerosis Lesion Load With Synthetic Magnetic Resonance Imaging—A Multicenter Validation Study,https://www.ingentaconnect.com/content/wk/rli/2023/00000058/00000005/art00003,S Schlaeger,"S Schlaeger, HB Li, T Baum, C Zimmer…",2023,ingentaconnect.com,4,multiple sclerosis segmentation gan
